kill_n,time_s,energy,confidence
1,2.8435374149659864,4083.421630859375,1.155
2,3.272562358276644,4285.1533203125,1.212
3,3.671655328798186,3880.83935546875,1.098
4,4.190476190476191,4166.69873046875,1.179
5,5.15827664399093,4516.1533203125,1.278
6,5.422675736961451,4135.9765625,1.17
7,5.941496598639456,4218.56591796875,1.194
8,6.32562358276644,4198.466796875,1.188
9,6.719727891156462,3923.203857421875,1.11
10,7.453061224489796,3994.716552734375,1.13
11,7.847165532879819,3803.295166015625,1.076
12,10.126984126984127,3939.513671875,1.115
13,10.411337868480725,4155.50146484375,1.176
14,10.735600907029479,4226.30419921875,1.196
15,11.33424036281179,3884.947265625,1.099
16,11.678458049886622,4132.52197265625,1.169
17,12.282086167800454,4168.38232421875,1.179
18,12.885714285714286,3858.427978515625,1.092
19,13.82857142857143,4098.75390625,1.16
20,14.217687074829932,4098.84326171875,1.16
21,14.766439909297052,3891.860107421875,1.101
22,15.205442176870749,3947.240478515625,1.117
23,16.407709750566895,3841.929443359375,1.087
24,17.160997732426303,4019.3349609375,1.137
25,17.629931972789116,3767.686279296875,1.066
26,18.527891156462584,4458.8232421875,1.261
27,19.10657596371882,4164.60986328125,1.178
28,19.65532879818594,4076.298828125,1.153
29,20.044444444444444,3745.969970703125,1.06
30,20.583219954648527,4322.4208984375,1.223
31,21.16689342403628,4086.04443359375,1.156
32,21.536054421768707,4101.8603515625,1.16
33,22.024943310657598,4228.54052734375,1.196
34,22.463945578231293,4118.90234375,1.165
35,22.82312925170068,4012.40234375,1.135
36,24.53424036281179,4136.888671875,1.17
37,24.74875283446712,3776.939697265625,1.069
38,25.132879818594105,4331.46142578125,1.225
39,25.5968253968254,4172.45361328125,1.18
40,26.025850340136053,3832.564453125,1.084
41,26.509750566893423,4303.3212890625,1.217
42,26.918820861678004,4063.6982421875,1.15
43,27.76689342403628,3963.061279296875,1.121
44,28.200907029478458,4107.1484375,1.162
45,28.699773242630386,4144.89990234375,1.173
46,29.07891156462585,3922.15966796875,1.11
47,29.966893424036282,4018.859130859375,1.137
48,30.844897959183672,4062.73583984375,1.149
49,31.184126984126983,4039.867431640625,1.143
50,32.21678004535148,3738.1015625,1.058
51,33.099773242630384,3937.443115234375,1.114
52,33.3891156462585,4304.966796875,1.218
53,33.77324263038549,4040.025390625,1.143
54,34.57641723356009,3886.361083984375,1.1
55,34.910657596371884,3954.781005859375,1.119
56,35.683900226757366,3761.58984375,1.064
57,36.16281179138322,4400.05419921875,1.245
58,36.62675736961451,4067.263671875,1.151
59,37.28027210884354,4045.02294921875,1.144
60,38.2530612244898,4181.03662109375,1.183
61,38.741950113378685,3659.743896484375,1.035
62,40.13378684807256,4061.87890625,1.149
63,40.45804988662132,4075.36865234375,1.153
64,40.912018140589566,4136.88037109375,1.17
65,41.73514739229025,4006.57568359375,1.134
66,42.114285714285714,4136.0166015625,1.17
67,42.48843537414966,3886.92626953125,1.1
68,42.862585034013605,4053.081298828125,1.147
69,43.69070294784581,3756.449951171875,1.063
70,44.16462585034014,4234.72607421875,1.198
71,45.207256235827664,4119.60986328125,1.166
72,45.67120181405895,4253.6142578125,1.203
73,45.830839002267574,3682.675048828125,1.042
74,46.13514739229025,4068.63720703125,1.151
75,46.95328798185941,4458.37158203125,1.261
76,47.75147392290249,4076.03515625,1.153
77,48.230385487528345,4034.494140625,1.141
78,48.60952380952381,4300.87255859375,1.217
79,49.31292517006803,4209.4560546875,1.191
80,50.01632653061225,3936.575927734375,1.114
81,50.60997732426304,3867.923583984375,1.094
82,50.8843537414966,4219.16162109375,1.194
83,51.90702947845805,4092.0185546875,1.158
84,52.420861678004535,4190.251953125,1.185
85,52.894784580498865,4072.889892578125,1.152
86,53.32380952380952,3907.602294921875,1.106
87,53.89251700680272,3978.178955078125,1.125
88,54.99501133786848,3674.567138671875,1.04
89,55.4140589569161,3945.142333984375,1.116
90,56.01768707482993,3901.20068359375,1.104
91,56.37687074829932,4105.1630859375,1.161
92,56.8907029478458,4360.18408203125,1.234
93,57.40952380952381,4131.07275390625,1.169
94,57.88843537414966,4132.35498046875,1.169
95,58.686621315192745,4506.439453125,1.275
96,59.18548752834467,4011.412353515625,1.135
97,59.8140589569161,4091.440185546875,1.158
98,60.15827664399093,3950.95751953125,1.118
99,60.55238095238095,4034.17919921875,1.141
100,61.1859410430839,4104.83984375,1.161
101,61.6,4182.1005859375,1.183
102,62.06394557823129,3963.5556640625,1.121
103,62.577777777777776,4162.669921875,1.178
104,63.156462585034014,4765.2333984375,1.348
105,63.93469387755102,3964.820556640625,1.122
106,64.4235827664399,3906.205810546875,1.105
107,65.03718820861678,4364.26904296875,1.235
108,65.42131519274376,4151.0234375,1.174
109,65.84036281179138,4029.33203125,1.14
110,66.54875283446712,4034.45703125,1.141
111,67.17233560090703,3918.7255859375,1.109
